Region,Date,Cases,Tests,Population,County,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
Northern,2020-03-26,5,NA,483871,Northern,3,NA,NA,0.000885714226666671,NA,2,NA,NA,0.0041333330577778,NA
Northern,2020-03-27,9,NA,483871,Northern,6,NA,NA,0.00177142845333334,NA,4,NA,NA,0.00826666611555559,NA
Northern,2020-03-28,10,NA,483871,Northern,7,NA,NA,0.0020666665288889,NA,1,NA,NA,0.0020666665288889,NA
Northern,2020-03-29,10,NA,483871,Northern,7,NA,NA,0.0020666665288889,NA,0,NA,NA,0,NA
Northern,2020-03-30,14,757,483871,Northern,11,NA,NA,0.00324761883111113,NA,4,NA,NA,0.00826666611555559,NA
Northern,2020-03-31,16,854,483871,Northern,13,NA,NA,0.00383809498222224,NA,2,97,0.0206185567010309,0.0041333330577778,0.200466653302223
Northern,2020-04-01,19,920,483871,Northern,16,NA,NA,0.00472380920888891,NA,3,66,0.0454545454545455,0.00619999958666669,0.136399990906667
Northern,2020-04-02,23,991,483871,Northern,18,NA,NA,0.00531428536000002,NA,4,71,0.0563380281690141,0.00826666611555559,0.146733323551112
Northern,2020-04-03,25,1091,483871,Northern,16,NA,NA,0.00472380920888891,NA,2,100,0.02,0.0041333330577778,0.20666665288889
Northern,2020-04-04,27,1160,483871,Northern,17,NA,NA,0.00501904728444447,NA,2,69,0.0289855072463768,0.0041333330577778,0.142599990493334
Northern,2020-04-05,30,1200,483871,Northern,20,NA,NA,0.00590476151111114,NA,3,40,0.075,0.00619999958666669,0.0826666611555559
Northern,2020-04-06,31,1242,483871,Northern,17,485,0.0350515463917526,0.00501904728444447,0.143190466644445,1,42,0.0238095238095238,0.0020666665288889,0.0867999942133337
Northern,2020-04-07,34,1365,483871,Northern,18,511,0.0352250489236791,0.00531428536000002,0.15086665660889,3,123,0.024390243902439,0.00619999958666669,0.254199983053334
Northern,2020-04-08,34,1420,483871,Northern,15,500,0.03,0.00442857113333335,0.147619037777778,0,55,0,0,0.113666659088889
Northern,2020-04-09,35,1468,483871,Northern,12,477,0.0251572327044025,0.00354285690666668,0.140828562040001,1,48,0.0208333333333333,0.0020666665288889,0.0991999933866671
Northern,2020-04-10,35,1528,483871,Northern,10,437,0.022883295194508,0.00295238075555557,0.129019039017778,0,60,0,0,0.123999991733334
Northern,2020-04-11,38,1628,483871,Northern,11,468,0.0235042735042735,0.00324761883111113,0.138171419360001,3,100,0.03,0.00619999958666669,0.20666665288889
Northern,2020-04-12,40,1708,483871,Northern,10,508,0.0196850393700787,0.00295238075555557,0.149980942382223,2,80,0.025,0.0041333330577778,0.165333322311112
Northern,2020-04-13,41,1778,483871,Northern,10,536,0.0186567164179104,0.00295238075555557,0.158247608497778,1,70,0.0142857142857143,0.0020666665288889,0.144666657022223
Northern,2020-04-14,42,1826,483871,Northern,8,461,0.017353579175705,0.00236190460444445,0.136104752831112,1,48,0.0208333333333333,0.0020666665288889,0.0991999933866671
Northern,2020-04-15,42,1871,483871,Northern,8,451,0.0177383592017738,0.00236190460444445,0.133152372075556,0,45,0,0,0.0929999938000004
Northern,2020-04-16,42,1933,483871,Northern,7,465,0.0150537634408602,0.0020666665288889,0.137285705133334,0,62,0,0,0.128133324791112
Northern,2020-04-17,44,2037,483871,Northern,9,509,0.0176817288801572,0.00265714268000001,0.150276180457778,2,104,0.0192307692307692,0.0041333330577778,0.214933319004445
Northern,2020-04-18,45,2087,483871,Northern,7,459,0.0152505446623094,0.0020666665288889,0.135514276680001,1,50,0.02,0.0020666665288889,0.103333326444445
Northern,2020-04-19,45,2136,483871,Northern,5,428,0.0116822429906542,0.00147619037777778,0.126361896337778,0,49,0,0,0.101266659915556
Northern,2020-04-20,45,2176,483871,Northern,4,398,0.0100502512562814,0.00118095230222223,0.117504754071112,0,40,0,0,0.0826666611555559
Northern,2020-04-21,45,2244,483871,Northern,3,418,0.00717703349282297,0.000885714226666671,0.123409515582223,0,68,0,0,0.140533323964445
Northern,2020-04-22,45,2337,483871,Northern,3,466,0.00643776824034335,0.000885714226666671,0.13758094320889,0,93,0,0,0.192199987186668
Northern,2020-04-23,45,2422,483871,Northern,3,489,0.00613496932515337,0.000885714226666671,0.144371418946667,0,85,0,0,0.175666654955556
Northern,2020-04-24,45,2525,483871,Northern,1,488,0.00204918032786885,0.000295238075555557,0.144076180871112,0,103,0,0,0.212866652475557
Northern,2020-04-25,45,2611,483871,Northern,0,524,0,0,0.154704751591112,0,86,0,0,0.177733321484445
Northern,2020-04-26,46,2678,483871,Northern,1,542,0.0018450184501845,0.000295238075555557,0.160019036951112,1,67,0.0149253731343284,0.0020666665288889,0.138466657435556
Northern,2020-04-27,46,2778,483871,Northern,1,602,0.00166112956810631,0.000295238075555557,0.177733321484445,0,100,0,0,0.20666665288889
Northern,2020-04-28,46,2871,483871,Northern,1,627,0.00159489633173844,0.000295238075555557,0.185114273373334,0,93,0,0,0.192199987186668
Northern,2020-04-29,47,2955,483871,Northern,2,618,0.00323624595469256,0.000590476151111114,0.182457130693334,1,84,0.0119047619047619,0.0020666665288889,0.173599988426667
Northern,2020-04-30,48,3100,483871,Northern,3,678,0.00442477876106195,0.000885714226666671,0.200171415226668,1,145,0.00689655172413793,0.0020666665288889,0.29966664668889
Northern,2020-05-01,49,3253,483871,Northern,4,728,0.00549450549450549,0.00118095230222223,0.214933319004445,1,153,0.0065359477124183,0.0020666665288889,0.316199978920001
Northern,2020-05-02,51,3428,483871,Northern,6,817,0.00734394124847001,0.00177142845333334,0.24120950772889,2,175,0.0114285714285714,0.0041333330577778,0.361666642555557
Northern,2020-05-03,51,3564,483871,Northern,5,886,0.00564334085778781,0.00147619037777778,0.261580934942223,0,136,0,0,0.28106664792889
Northern,2020-05-04,53,3670,483871,Northern,7,892,0.007847533632287,0.0020666665288889,0.263352363395557,2,106,0.0188679245283019,0.0041333330577778,0.219066652062223
Northern,2020-05-05,55,3814,483871,Northern,9,943,0.0095440084835631,0.00265714268000001,0.27840950524889,2,144,0.0138888888888889,0.0041333330577778,0.297599980160001
Northern,2020-05-06,56,4067,483871,Northern,9,1112,0.00809352517985612,0.00265714268000001,0.328304740017779,1,253,0.00395256916996047,0.0020666665288889,0.522866631808891
Northern,2020-05-07,56,4238,483871,Northern,8,1138,0.0070298769771529,0.00236190460444445,0.335980929982224,0,171,0,0,0.353399976440002
Northern,2020-05-08,58,4442,483871,Northern,9,1189,0.00756938603868797,0.00265714268000001,0.351038071835557,2,204,0.00980392156862745,0.0041333330577778,0.421599971893335
Northern,2020-05-09,60,4714,483871,Northern,9,1286,0.00699844479004666,0.00265714268000001,0.379676165164446,2,272,0.00735294117647059,0.0041333330577778,0.56213329585778
Northern,2020-05-10,62,5160,483871,Northern,11,1596,0.0068922305764411,0.00324761883111113,0.471199968586669,2,446,0.00448430493273543,0.0041333330577778,0.921733271884449
Northern,2020-05-11,66,5432,483871,Northern,13,1762,0.00737797956867196,0.00383809498222224,0.520209489128891,4,272,0.0147058823529412,0.00826666611555559,0.56213329585778
Northern,2020-05-12,66,5701,483871,Northern,11,1887,0.00582935877053524,0.00324761883111113,0.557114248573336,0,269,0,0,0.555933296271114
Northern,2020-05-13,70,5901,483871,Northern,14,1834,0.00763358778625954,0.0041333330577778,0.541466630568891,4,200,0.02,0.00826666611555559,0.41333330577778
Northern,2020-05-14,73,6223,483871,Northern,17,1985,0.00856423173803527,0.00501904728444447,0.58604757997778,3,322,0.0093167701863354,0.00619999958666669,0.665466622302225
Northern,2020-05-15,75,6662,483871,Northern,17,2220,0.00765765765765766,0.00501904728444447,0.655428527733336,2,439,0.00455580865603645,0.0041333330577778,0.907266606182226
Northern,2020-05-16,80,7144,483871,Northern,20,2430,0.00823045267489712,0.00590476151111114,0.717428523600003,5,482,0.0103734439834025,0.0103333326444445,0.996133266924449
Northern,2020-05-17,83,7374,483871,Northern,21,2214,0.00948509485094851,0.00619999958666669,0.653657099280003,3,230,0.0130434782608696,0.00619999958666669,0.475333301644447
Northern,2020-05-18,84,7545,483871,Northern,18,2113,0.00851869380028396,0.00531428536000002,0.623838053648892,1,171,0.00584795321637427,0.0020666665288889,0.353399976440002
Northern,2020-05-19,86,7847,483871,Northern,20,2146,0.00931966449207828,0.00590476151111114,0.633580910142225,2,302,0.00662251655629139,0.0041333330577778,0.624133291724447
Northern,2020-05-20,89,8119,483871,Northern,19,2218,0.00856627592425609,0.00560952343555558,0.654838051582225,3,272,0.0110294117647059,0.00619999958666669,0.56213329585778
Northern,2020-05-21,98,8654,483871,Northern,25,2431,0.0102838338132456,0.00738095188888892,0.717723761675559,9,535,0.0168224299065421,0.0185999987600001,1.10566659295556
Northern,2020-05-22,100,9292,483871,Northern,25,2630,0.00950570342205323,0.00738095188888892,0.776476138711115,2,638,0.00313479623824451,0.0041333330577778,1.31853324543112
Northern,2020-05-23,103,9642,483871,Northern,23,2498,0.00920736589271417,0.00679047573777781,0.737504712737781,3,350,0.00857142857142857,0.00619999958666669,0.723333285111114
Northern,2020-05-24,108,10219,483871,Northern,25,2845,0.00878734622144113,0.00738095188888892,0.839952324955559,5,577,0.00866551126516464,0.0103333326444445,1.19246658716889
Northern,2020-05-25,110,10695,483871,Northern,26,3150,0.00825396825396825,0.00767618996444448,0.929999938000004,2,476,0.00420168067226891,0.0041333330577778,0.983733267751115
Northern,2020-05-26,112,10980,483871,Northern,26,3133,0.00829875518672199,0.00767618996444448,0.92498089071556,2,285,0.00701754385964912,0.0041333330577778,0.588999960733336
Northern,2020-05-27,126,11342,483871,Northern,37,3223,0.0114799875892026,0.0109238087955556,0.95155231751556,14,362,0.0386740331491713,0.0289333314044446,0.748133283457781
Northern,2020-05-28,134,11955,483871,Northern,36,3301,0.0109057861254165,0.01062857072,0.974580887408893,8,613,0.0130505709624796,0.0165333322311112,1.26686658220889
