herc_region,Date,Cases,Tests,Population,County,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
Fox Valley Area,2020-04-18,90,2640,549682,Fox Valley Area,21,754,0.0278514588859416,0.00545770099803159,0.195957454881706,6,123,0.0487804878048781,0.0109154019960632,0.223765740919295
Fox Valley Area,2020-04-19,95,2725,549682,Fox Valley Area,23,726,0.0316804407713499,0.00597748204546317,0.188680520217664,5,85,0.0588235294117647,0.00909616833005265,0.154634861610895
Fox Valley Area,2020-04-20,95,2816,549682,Fox Valley Area,21,722,0.0290858725761773,0.00545770099803159,0.1876409581228,0,91,0,0,0.165550263606958
Fox Valley Area,2020-04-21,95,2848,549682,Fox Valley Area,18,626,0.0287539936102236,0.00467802942688422,0.162691467846084,0,32,0,0,0.0582154773123369
Fox Valley Area,2020-04-22,101,2948,549682,Fox Valley Area,20,637,0.0313971742543171,0.0051978104743158,0.165550263606958,6,100,0.06,0.0109154019960632,0.181923366601053
Fox Valley Area,2020-04-23,106,3095,549682,Fox Valley Area,24,692,0.0346820809248555,0.00623737256917896,0.179844242411327,5,147,0.0340136054421769,0.00909616833005265,0.267427348903548
Fox Valley Area,2020-04-24,115,3290,549682,Fox Valley Area,31,773,0.0401034928848642,0.00805660623518949,0.200895374832306,9,195,0.0461538461538462,0.0163731029940948,0.354750564872053
Fox Valley Area,2020-04-25,117,3512,549682,Fox Valley Area,27,872,0.0309633027522936,0.00701704414032633,0.226624536680169,2,222,0.00900900900900901,0.00363846733202106,0.403869873854338
Fox Valley Area,2020-04-26,120,3673,549682,Fox Valley Area,25,948,0.0263713080168776,0.00649726309289475,0.246376216482569,3,161,0.0186335403726708,0.00545770099803159,0.292896620227695
Fox Valley Area,2020-04-27,124,3822,549682,Fox Valley Area,29,1006,0.0288270377733598,0.00753682518775791,0.261449866858085,4,149,0.0268456375838926,0.00727693466404212,0.271065816235569
Fox Valley Area,2020-04-28,128,3905,549682,Fox Valley Area,33,1057,0.0312204351939451,0.00857638728262107,0.27470428356759,4,83,0.0481927710843374,0.00727693466404212,0.150996394278874
Fox Valley Area,2020-04-29,140,4028,549682,Fox Valley Area,39,1080,0.0361111111111111,0.0101357304249158,0.280681765613053,12,123,0.0975609756097561,0.0218308039921264,0.223765740919295
Fox Valley Area,2020-04-30,143,4145,549682,Fox Valley Area,37,1050,0.0352380952380952,0.00961594937748423,0.272885049901579,3,117,0.0256410256410256,0.00545770099803159,0.212850338923232
Fox Valley Area,2020-05-01,169,4374,549682,Fox Valley Area,54,1084,0.0498154981549815,0.0140340882806527,0.281721327707916,26,229,0.11353711790393,0.0473000753162738,0.416604509516411
Fox Valley Area,2020-05-02,178,4580,549682,Fox Valley Area,61,1068,0.0571161048689139,0.0158533219466632,0.277563079328464,9,206,0.0436893203883495,0.0163731029940948,0.374762135198169
Fox Valley Area,2020-05-03,187,4758,549682,Fox Valley Area,67,1085,0.0617511520737327,0.0174126650889579,0.281981218231632,9,178,0.050561797752809,0.0163731029940948,0.323823592549874
Fox Valley Area,2020-05-04,198,4947,549682,Fox Valley Area,74,1125,0.0657777777777778,0.0192318987549685,0.292376839180264,11,189,0.0582010582010582,0.0200115703261158,0.34383516287599
Fox Valley Area,2020-05-05,217,5202,549682,Fox Valley Area,89,1297,0.0686198920585968,0.0231302566107053,0.33707800925938,19,255,0.0745098039215686,0.0345654396542001,0.463904584832685
Fox Valley Area,2020-05-06,225,5508,549682,Fox Valley Area,85,1480,0.0574324324324324,0.0220906945158421,0.384637975099369,8,306,0.0261437908496732,0.0145538693280842,0.556685501799222
Fox Valley Area,2020-05-07,241,5800,549682,Fox Valley Area,98,1655,0.059214501510574,0.0254692713241474,0.430118816749632,16,292,0.0547945205479452,0.0291077386561685,0.531216230475075
Fox Valley Area,2020-05-08,273,6151,549682,Fox Valley Area,104,1777,0.0585256049521666,0.0270286144664422,0.461825460642959,32,351,0.0911680911680912,0.0582154773123369,0.638551016769696
Fox Valley Area,2020-05-09,290,6416,549682,Fox Valley Area,112,1836,0.0610021786492375,0.0291077386561685,0.47715900154219,17,265,0.0641509433962264,0.030926972322179,0.48209692149279
Fox Valley Area,2020-05-10,299,6709,549682,Fox Valley Area,112,1951,0.0574064582265505,0.0291077386561685,0.507046411769506,9,293,0.0307167235494881,0.0163731029940948,0.533035464141085
Fox Valley Area,2020-05-11,310,6927,549682,Fox Valley Area,112,1980,0.0565656565656566,0.0291077386561685,0.514583236957264,11,218,0.0504587155963303,0.0200115703261158,0.396592939190295
Fox Valley Area,2020-05-12,313,7418,549682,Fox Valley Area,96,2216,0.0433212996389892,0.0249494902767158,0.57591740055419,3,491,0.00610997963340122,0.00545770099803159,0.89324373001117
Fox Valley Area,2020-05-13,325,7911,549682,Fox Valley Area,100,2403,0.0416146483562214,0.025989052371579,0.624516928489043,12,493,0.0243407707910751,0.0218308039921264,0.896882197343191
Fox Valley Area,2020-05-14,337,8353,549682,Fox Valley Area,96,2553,0.0376028202115159,0.0249494902767158,0.663500507046412,12,442,0.0271493212669683,0.0218308039921264,0.804101280376654
Fox Valley Area,2020-05-15,357,8922,549682,Fox Valley Area,84,2771,0.0303139660772284,0.0218308039921264,0.720156641216454,20,569,0.0351493848857645,0.0363846733202106,1.03514395595999
