FIPS,GEO,County,Date,Cases,Tests,Population,pop_2018,Region,herc_region,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
55141,County,Wood,2020-04-14,2,277,72999,74026,Northern,North Central,0,46,0,0,0.0900208026333042,0,4,0,0,0.0547952711680982
55001,County,Adams,2020-04-15,3,97,20220,20495,Southern,South Central,1,28,0.0357142857142857,0.00706514059629787,0.19782393669634,0,1,0,0,0.0494559841740851
55003,County,Ashland,2020-04-15,2,69,15562,15863,Northern,Northwest,1,14,0.0714285714285714,0.00917987038023023,0.128518185323223,0,1,0,0,0.0642590926616116
55005,County,Barron,2020-04-15,6,499,45244,45880,Western,Northwest,1,156,0.00641025641025641,0.00315748260227086,0.492567285954254,0,22,0,0,0.486252320749713
55007,County,Bayfield,2020-04-15,3,98,15036,15204,Northern,Northwest,0,24,0,0,0.22802417056208,0,1,0,0,0.0665070497472732
55009,County,Brown,2020-04-15,114,1089,264542,260329,Northeastern,Northeast,67,441,0.151927437641723,0.0361811302985105,0.238147439726017,17,66,0.257575757575758,0.0642620075451157,0.249487793998685
55011,County,Buffalo,2020-04-15,4,120,13031,13509,Western,Western,2,20,0.1,0.0219257375269961,0.219257375269961,0,2,0,0,0.153480162688972
55013,County,Burnett,2020-04-15,0,57,15414,15447,Western,Northwest,0,19,0,0,0.176092235259226,0,0,NA,0,0
55015,County,Calumet,2020-04-15,5,214,50089,51476,Northeastern,Fox Valley Area,1,74,0.0135135135135135,0.00285206617934363,0.211052897271428,0,3,0,0,0.0598933897662161
55017,County,Chippewa,2020-04-15,20,641,64658,64220,Western,Northwest,3,149,0.0201342281879195,0.0066282815517249,0.329204650402337,0,18,0,0,0.278387825172446
55019,County,Clark,2020-04-15,9,120,34774,34741,Western,North Central,2,25,0.08,0.00821631925330091,0.102703990666261,1,5,0.2,0.0287571173865532,0.143785586932766
55021,County,Columbia,2020-04-15,27,517,57532,57128,Southern,South Central,3,77,0.038961038961039,0.00744927046811216,0.191197942014879,2,16,0.125,0.0347632621845234,0.278106097476187
55023,County,Crawford,2020-04-15,3,133,16131,16555,Southern,Western,1,30,0.0333333333333333,0.00885606241752792,0.265681872525838,0,3,0,0,0.185977310768086
55025,County,Dane,2020-04-15,351,6396,546695,528496,Southern,South Central,49,1121,0.0437109723461195,0.0128042144157163,0.292929068571794,7,143,0.048951048951049,0.0128042144157163,0.261571808778204
55027,County,Dodge,2020-04-15,19,570,87839,89205,Southern,South Central,3,136,0.0220588235294118,0.00487905632545257,0.22118388675385,0,13,0,0,0.147998041872061
55029,County,Door,2020-04-15,9,107,27668,28051,Northeastern,Northeast,2,12,0.166666666666667,0.0103265247113736,0.0619591482682418,0,0,NA,0,0
55031,County,Douglas,2020-04-15,7,349,43150,43874,Western,Northwest,0,117,0,0,0.387353087237212,0,10,0,0,0.231749710312862
55033,County,Dunn,2020-04-15,9,603,45368,44777,Western,Northwest,3,150,0.02,0.00944655767438345,0.472327883719173,0,11,0,0,0.242461646975842
55035,County,Eau Claire,2020-04-15,21,1271,104646,102893,Western,Northwest,0,304,0,0,0.415004600544421,0,57,0,0,0.544693538214552
55037,County,Florence,2020-04-15,2,10,4295,4421,Northern,Northeast,0,3,0,0,0.0997838017628472,0,0,NA,0,0
55039,County,Fond du Lac,2020-04-15,59,997,103403,103373,Northeastern,Southeast,11,172,0.063953488372093,0.0151971274665974,0.237627811295887,0,29,0,0,0.280456079610843
55041,County,Forest,2020-04-15,0,33,9004,9182,Northern,North Central,0,12,0,0,0.190391571999746,0,0,NA,0,0
55043,County,Grant,2020-04-15,8,291,51439,52374,Southern,South Central,5,104,0.0480769230769231,0.0138860731018432,0.288830320518339,0,17,0,0,0.330488539823869
55045,County,Green,2020-04-15,9,215,36960,36864,Southern,South Central,0,44,0,0,0.170068027210884,0,4,0,0,0.108225108225108
55047,County,Green Lake,2020-04-15,1,108,18913,19088,Northeastern,Fox Valley Area,1,30,0.0333333333333333,0.00755338353815592,0.226601506144678,0,10,0,0,0.528736847670914
55049,County,Iowa,2020-04-15,5,168,23678,23799,Southern,South Central,1,35,0.0285714285714286,0.00603332810444898,0.211166483655714,0,8,0,0,0.337866373849143
55051,County,Iron,2020-04-15,2,25,5687,5844,Northern,North Central,1,8,0.125,0.0251199477505087,0.200959582004069,0,0,NA,0,0
55053,County,Jackson,2020-04-15,10,148,20643,20664,Western,Western,5,55,0.0909090909090909,0.0346018366654902,0.380620203320392,0,6,0,0,0.290655427990118
55055,County,Jefferson,2020-04-15,24,547,84769,84675,Southern,South Central,8,141,0.0567375886524823,0.0134820175165113,0.237620558728511,0,19,0,0,0.224138541212
55057,County,Juneau,2020-04-15,7,223,26687,26908,Southern,South Central,2,45,0.0444444444444444,0.010706122296035,0.240887751660787,0,7,0,0,0.262299996252857
55059,County,Kenosha,2020-04-15,204,1443,169561,168231,Southeastern,Southeast,75,337,0.222551928783383,0.0631883847953581,0.283926475680476,18,69,0.260869565217391,0.106156486456202,0.406933198082106
55061,County,Kewaunee,2020-04-15,5,69,20434,20644,Northeastern,Northeast,4,25,0.16,0.0279645968204253,0.174778730127658,1,2,0.5,0.0489380444357444,0.0978760888714887
55063,County,La Crosse,2020-04-15,25,1336,118016,118333,Western,Western,3,338,0.00887573964497041,0.00363146885652309,0.409145491168268,0,59,0,0,0.499932212581345
55065,County,Lafayette,2020-04-15,3,60,16665,16883,Southern,South Central,2,17,0.117647058823529,0.0171445716000171,0.145728858600146,0,1,0,0,0.06000600060006
55067,County,Langlade,2020-04-15,0,56,19189,19777,Northern,North Central,0,8,0,0,0.0595579312552578,0,1,0,0,0.0521131898483506
55069,County,Lincoln,2020-04-15,0,116,27593,28442,Northern,North Central,0,17,0,0,0.0880140408281603,0,6,0,0,0.217446453810749
55071,County,Manitowoc,2020-04-15,4,189,78981,80254,Northeastern,Northeast,1,48,0.0208333333333333,0.00180875328062626,0.0868201574700606,0,12,0,0,0.151935275572606
55073,County,Marathon,2020-04-15,14,442,135692,134741,Northern,North Central,2,111,0.018018018018018,0.00210560892104388,0.116861295117935,0,21,0,0,0.154762255696725
55075,County,Marinette,2020-04-15,4,166,40350,40938,Northeastern,Northeast,1,58,0.0172413793103448,0.00354044963710391,0.205346078952027,0,4,0,0,0.0991325898389095
55077,County,Marquette,2020-04-15,3,109,15574,15378,Northeastern,South Central,1,21,0.0476190476190476,0.00917279715276377,0.192628740208039,1,5,0.2,0.0642095800693464,0.321047900346732
55078,County,Menominee,2020-04-15,1,9,4556,4382,Northeastern,Fox Valley Area,0,0,NA,0,0,0,0,NA,0,0
55079,County,Milwaukee,2020-04-15,1870,9775,945726,944479,Southeastern,Southeast,453,2201,0.20581553839164,0.0684281554216398,0.332473223141345,75,347,0.216138328530259,0.0793041536343508,0.366913884148263
55081,County,Monroe,2020-04-15,10,463,46253,45998,Western,Western,5,123,0.040650406504065,0.0154430137350164,0.379898137881404,2,23,0.0869565217391304,0.043240438458046,0.497265042267529
55083,County,Oconto,2020-04-15,4,166,37930,37962,Northeastern,Northeast,2,53,0.0377358490566038,0.00753267296900305,0.199615833678581,0,9,0,0,0.237279198523596
55085,County,Oneida,2020-04-15,6,192,35595,35913,Northern,North Central,1,45,0.0222222222222222,0.00401340477193827,0.180603214737222,0,3,0,0,0.0842815002107038
55087,County,Outagamie,2020-04-15,31,732,187885,183800,Northeastern,Fox Valley Area,6,235,0.025531914893617,0.0045620611392227,0.178680727952889,2,23,0.0869565217391304,0.010644809324853,0.122415307235809
55089,County,Ozaukee,2020-04-15,77,657,89221,88360,Southeastern,Southeast,7,163,0.0429447852760736,0.0112081236480201,0.260989164946753,4,24,0.166666666666667,0.0448324945920803,0.268994967552482
55091,County,Pepin,2020-04-15,0,79,7287,7349,Western,Northwest,0,15,0,0,0.294065753102394,0,4,0,0,0.548922739124468
55093,County,Pierce,2020-04-15,7,278,42754,41635,Western,Northwest,0,56,0,0,0.187116994901062,0,7,0,0,0.163727370538429
55095,County,Polk,2020-04-15,3,148,43783,43900,Western,Northwest,3,43,0.0697674418604651,0.00978853501522117,0.14030233521817,0,7,0,0,0.159879405248612
55097,County,Portage,2020-04-15,4,203,70772,70719,Northern,North Central,0,55,0,0,0.111020500440045,0,4,0,0,0.0565195274967501
55099,County,Price,2020-04-15,1,45,13351,13808,Northern,North Central,1,11,0.0909090909090909,0.0107001080710915,0.117701188782007,0,1,0,0,0.0749007564976406
55101,County,Racine,2020-04-15,138,1237,196311,195230,Southeastern,Southeast,61,392,0.155612244897959,0.0443902059196159,0.285261651155564,3,39,0.0769230769230769,0.0152818741690481,0.198664364197625
55103,County,Richland,2020-04-15,7,168,17252,17712,Southern,South Central,4,17,0.235294117647059,0.0331224537113709,0.140770428273327,1,5,0.2,0.0579642939948991,0.289821469974496
55105,County,Rock,2020-04-15,62,1134,163354,160265,Southern,South Central,20,237,0.0843881856540084,0.0174904982868057,0.207262404698647,3,39,0.0769230769230769,0.018365023201146,0.238745301614898
55107,County,Rusk,2020-04-15,3,77,14178,14534,Western,Northwest,0,18,0,0,0.18136751103319,0,2,0,0,0.141063619692481
55109,County,St. Croix,2020-04-15,10,280,90687,88169,Western,Northwest,3,83,0.036144578313253,0.00472583091922137,0.130747988765125,0,4,0,0,0.0441077552460661
55111,County,Sauk,2020-04-15,31,487,64442,62686,Southern,South Central,11,133,0.0827067669172932,0.0243851614076002,0.294838769746439,3,21,0.142857142857143,0.046553489959964,0.325874429719748
55113,County,Sawyer,2020-04-15,2,154,16558,16569,Northern,Northwest,2,68,0.0294117647058824,0.0172553621037737,0.586682311528308,0,1,0,0,0.0603937673632081
55115,County,Shawano,2020-04-15,6,198,40899,41260,Northeastern,Fox Valley Area,2,61,0.0327868852459016,0.00698585016049991,0.213068429895247,0,13,0,0,0.317856182302746
55117,County,Sheboygan,2020-04-15,37,610,115340,114515,Northeastern,Southeast,6,114,0.0526315789473684,0.0074314449206074,0.141197453491541,1,15,0.0666666666666667,0.00867001907404196,0.130050286110629
55119,County,Taylor,2020-04-15,0,62,20343,20580,Northern,North Central,0,14,0,0,0.0983139163348572,0,1,0,0,0.0491569581674286
55121,County,Trempealeau,2020-04-15,1,307,29649,29332,Western,Western,0,95,0,0,0.45773646906906,0,15,0,0,0.505919255286856
55123,County,Vernon,2020-04-15,0,235,30822,30287,Southern,Western,0,67,0,0,0.310538854436071,0,15,0,0,0.48666536889235
55125,County,Vilas,2020-04-15,4,85,22195,21656,Northern,North Central,0,18,0,0,0.11585620957101,0,1,0,0,0.0450551926109484
55127,County,Walworth,2020-04-15,49,462,103868,102615,Southeastern,Southeast,26,119,0.218487394957983,0.0357596729915442,0.163669272538222,4,15,0.266666666666667,0.0385104170678168,0.144414064004313
55129,County,Washburn,2020-04-15,1,106,15720,15853,Western,Northwest,1,39,0.0256410256410256,0.00908760450745183,0.354416575790622,0,0,NA,0,0
55131,County,Washington,2020-04-15,78,1151,136034,134486,Southeastern,Southeast,16,264,0.0606060606060606,0.016802522058561,0.277241613966256,5,67,0.0746268656716418,0.0367555170031022,0.492523927841569
55133,County,Waukesha,2020-04-15,238,2515,404198,398642,Southeastern,Southeast,64,561,0.114081996434938,0.0226197485956317,0.198276233783584,14,94,0.148936170212766,0.034636490037061,0.232559290248838
55135,County,Waupaca,2020-04-15,4,225,50990,51731,Northeastern,Fox Valley Area,2,81,0.0246913580246914,0.00560333959039588,0.226935253411033,0,11,0,0,0.215728574230241
55137,County,Waushara,2020-04-15,2,88,24443,24298,Northeastern,Fox Valley Area,1,26,0.0384615384615385,0.005844501201045,0.15195703122717,0,2,0,0,0.0818230168146299
55139,County,Winnebago,2020-04-15,31,737,171907,169344,Northeastern,Fox Valley Area,7,201,0.0348258706467662,0.00581709878015439,0.167033836401576,2,27,0.0740740740740741,0.0116341975603088,0.157061667064168
55141,County,Wood,2020-04-15,2,281,72999,74026,Northern,North Central,0,43,0,0,0.0841498807224365,0,4,0,0,0.0547952711680982
55001,County,Adams,2020-04-16,3,100,20220,20495,Southern,South Central,1,26,0.0384615384615385,0.00706514059629787,0.183693655503745,0,3,0,0,0.148367952522255
55003,County,Ashland,2020-04-16,2,71,15562,15863,Northern,Northwest,1,13,0.0769230769230769,0.00917987038023023,0.119338314942993,0,2,0,0,0.128518185323223
55005,County,Barron,2020-04-16,6,522,45244,45880,Western,Northwest,1,148,0.00675675675675676,0.00315748260227086,0.467307425136088,0,23,0,0,0.508354698965609
55007,County,Bayfield,2020-04-16,3,98,15036,15204,Northern,Northwest,0,24,0,0,0.22802417056208,0,0,NA,0,0
55009,County,Brown,2020-04-16,139,1171,264542,260329,Northeastern,Northeast,89,465,0.191397849462366,0.048061501441305,0.251107844609066,25,82,0.304878048780488,0.094502952272229,0.309969683452911
55011,County,Buffalo,2020-04-16,4,124,13031,13509,Western,Western,2,21,0.0952380952380952,0.0219257375269961,0.230220244033459,0,4,0,0,0.306960325377945
55013,County,Burnett,2020-04-16,0,58,15414,15447,Western,Northwest,0,18,0,0,0.166824222877162,0,1,0,0,0.0648760866744518
55015,County,Calumet,2020-04-16,5,222,50089,51476,Northeastern,Fox Valley Area,1,74,0.0135135135135135,0.00285206617934363,0.211052897271428,0,8,0,0,0.159715706043243
55017,County,Chippewa,2020-04-16,20,661,64658,64220,Western,Northwest,3,144,0.0208333333333333,0.0066282815517249,0.318157514482795,0,20,0,0,0.309319805747162
55019,County,Clark,2020-04-16,10,128,34774,34741,Western,North Central,3,31,0.0967741935483871,0.0123244788799514,0.127352948426164,1,8,0.125,0.0287571173865532,0.230056939092425
55021,County,Columbia,2020-04-16,27,530,57532,57128,Southern,South Central,3,77,0.038961038961039,0.00744927046811216,0.191197942014879,0,13,0,0,0.225961204199402
55023,County,Crawford,2020-04-16,3,140,16131,16555,Southern,Western,1,31,0.032258064516129,0.00885606241752792,0.274537934943365,0,7,0,0,0.433947058458868
55025,County,Dane,2020-04-16,351,6575,546695,528496,Southern,South Central,44,1102,0.0399274047186933,0.0114976619243166,0.287964169104476,0,179,0,0,0.327422054344744
55027,County,Dodge,2020-04-16,19,582,87839,89205,Southern,South Central,3,140,0.0214285714285714,0.00487905632545257,0.227689295187787,0,12,0,0,0.136613577112672
55029,County,Door,2020-04-16,9,109,27668,28051,Northeastern,Northeast,1,13,0.0769230769230769,0.00516326235568682,0.0671224106239286,0,2,0,0,0.0722856729796154
55031,County,Douglas,2020-04-16,7,356,43150,43874,Western,Northwest,0,119,0,0,0.393974507531866,0,7,0,0,0.162224797219003
55033,County,Dunn,2020-04-16,9,629,45368,44777,Western,Northwest,2,141,0.0141843971631206,0.00629770511625564,0.443988210696022,0,26,0,0,0.573091165579263
55035,County,Eau Claire,2020-04-16,22,1309,104646,102893,Western,Northwest,1,339,0.00294985250737463,0.00136514671231717,0.462784735475522,1,38,0.0263157894736842,0.00955602698622021,0.363129025476368
55037,County,Florence,2020-04-16,2,11,4295,4421,Northern,Northeast,0,4,0,0,0.13304506901713,0,1,0,0,0.232828870779977
55039,County,Fond du Lac,2020-04-16,59,1023,103403,103373,Northeastern,Southeast,10,188,0.0531914893617021,0.0138155704241795,0.259732723974574,0,26,0,0,0.251443381720066
55041,County,Forest,2020-04-16,0,34,9004,9182,Northern,North Central,0,12,0,0,0.190391571999746,0,1,0,0,0.111061750333185
55043,County,Grant,2020-04-16,10,312,51439,52374,Southern,South Central,6,104,0.0576923076923077,0.0166632877222119,0.288830320518339,2,21,0.0952380952380952,0.0388810046851611,0.408250549194191
55045,County,Green,2020-04-16,9,221,36960,36864,Southern,South Central,0,45,0,0,0.173933209647495,0,6,0,0,0.162337662337662
55047,County,Green Lake,2020-04-16,1,112,18913,19088,Northeastern,Fox Valley Area,1,33,0.0303030303030303,0.00755338353815592,0.249261656759145,0,4,0,0,0.211494739068366
55049,County,Iowa,2020-04-16,5,168,23678,23799,Southern,South Central,1,29,0.0344827586206897,0.00603332810444898,0.17496651502902,0,0,NA,0,0
55051,County,Iron,2020-04-16,2,25,5687,5844,Northern,North Central,1,6,0.166666666666667,0.0251199477505087,0.150719686503052,0,0,NA,0,0
55053,County,Jackson,2020-04-16,11,155,20643,20664,Western,Western,4,50,0.08,0.0276814693323922,0.346018366654902,1,7,0.142857142857143,0.0484425713316863,0.339097999321804
55055,County,Jefferson,2020-04-16,24,561,84769,84675,Southern,South Central,5,133,0.037593984962406,0.00842626094781954,0.224138541212,0,14,0,0,0.165154714577263
55057,County,Juneau,2020-04-16,7,230,26687,26908,Southern,South Central,2,47,0.0425531914893617,0.010706122296035,0.251593873956822,0,7,0,0,0.262299996252857
55059,County,Kenosha,2020-04-16,208,1494,169561,168231,Southeastern,Southeast,73,346,0.210982658959538,0.0615033612008152,0.291509081855919,4,51,0.0784313725490196,0.0235903303236004,0.300776711625905
55061,County,Kewaunee,2020-04-16,6,77,20434,20644,Northeastern,Northeast,5,28,0.178571428571429,0.0349557460255317,0.195752177742977,1,8,0.125,0.0489380444357444,0.391504355485955
55063,County,La Crosse,2020-04-16,25,1375,118016,118333,Western,Western,2,323,0.00619195046439629,0.00242097923768206,0.390988146885652,0,39,0,0,0.330463665943601
55065,County,Lafayette,2020-04-16,3,64,16665,16883,Southern,South Central,1,17,0.0588235294117647,0.00857228580000857,0.145728858600146,0,4,0,0,0.24002400240024
55067,County,Langlade,2020-04-16,0,61,19189,19777,Northern,North Central,0,12,0,0,0.0893368968828868,0,5,0,0,0.260565949241753
55069,County,Lincoln,2020-04-16,0,118,27593,28442,Northern,North Central,0,17,0,0,0.0880140408281603,0,2,0,0,0.0724821512702497
55071,County,Manitowoc,2020-04-16,5,196,78981,80254,Northeastern,Northeast,2,48,0.0416666666666667,0.00361750656125253,0.0868201574700606,1,7,0.142857142857143,0.0126612729643838,0.0886289107506869
55073,County,Marathon,2020-04-16,14,455,135692,134741,Northern,North Central,2,109,0.018348623853211,0.00210560892104388,0.114755686196891,0,13,0,0,0.0958052059074964
55075,County,Marinette,2020-04-16,4,174,40350,40938,Northeastern,Northeast,1,62,0.0161290322580645,0.00354044963710391,0.219507877500443,0,8,0,0,0.198265179677819
55077,County,Marquette,2020-04-16,3,111,15574,15378,Northeastern,South Central,1,21,0.0476190476190476,0.00917279715276377,0.192628740208039,0,2,0,0,0.128419160138693
55078,County,Menominee,2020-04-16,1,10,4556,4382,Northeastern,Fox Valley Area,0,1,0,0,0.0313558259124545,0,1,0,0,0.219490781387182
55079,County,Milwaukee,2020-04-16,1947,10263,945726,944479,Southeastern,Southeast,463,2381,0.194456110877782,0.0699387107289608,0.359663218673122,77,488,0.157786885245902,0.0814189310646001,0.516005692980842
55081,County,Monroe,2020-04-16,12,482,46253,45998,Western,Western,6,125,0.048,0.0185316164820197,0.38607534337541,2,19,0.105263157894737,0.043240438458046,0.410784165351437
55083,County,Oconto,2020-04-16,4,178,37930,37962,Northeastern,Northeast,1,56,0.0178571428571429,0.00376633648450153,0.210914843132085,0,12,0,0,0.316372264698128
55085,County,Oneida,2020-04-16,6,197,35595,35913,Northern,North Central,1,45,0.0222222222222222,0.00401340477193827,0.180603214737222,0,5,0,0,0.14046916701784
55087,County,Outagamie,2020-04-16,31,764,187885,183800,Northeastern,Fox Valley Area,5,258,0.0193798449612403,0.00380171761601892,0.196168628986576,0,32,0,0,0.170316949197647
55089,County,Ozaukee,2020-04-16,77,710,89221,88360,Southeastern,Southeast,6,188,0.0319148936170213,0.00960696312687436,0.301018177975397,0,53,0,0,0.594030553345064
55091,County,Pepin,2020-04-16,0,80,7287,7349,Western,Northwest,0,14,0,0,0.274461369562234,0,1,0,0,0.137230684781117
55093,County,Pierce,2020-04-16,7,292,42754,41635,Western,Northwest,0,60,0,0,0.200482494536852,0,14,0,0,0.327454741076858
55095,County,Polk,2020-04-16,3,155,43783,43900,Western,Northwest,3,45,0.0666666666666667,0.00978853501522117,0.146828025228318,0,7,0,0,0.159879405248612
55097,County,Portage,2020-04-16,4,212,70772,70719,Northern,North Central,0,57,0,0,0.115057609546956,0,9,0,0,0.127168936867688
55099,County,Price,2020-04-16,1,47,13351,13808,Northern,North Central,1,11,0.0909090909090909,0.0107001080710915,0.117701188782007,0,2,0,0,0.149801512995281
55101,County,Racine,2020-04-16,143,1293,196311,195230,Southeastern,Southeast,59,399,0.147869674185464,0.0429347893320875,0.290355609211914,5,56,0.0892857142857143,0.0254697902817468,0.285261651155564
55103,County,Richland,2020-04-16,7,172,17252,17712,Southern,South Central,4,18,0.222222222222222,0.0331224537113709,0.149051041701169,0,4,0,0,0.231857175979597
55105,County,Rock,2020-04-16,63,1171,163354,160265,Southern,South Central,16,236,0.0677966101694915,0.0139923986294446,0.206387879784307,1,37,0.027027027027027,0.00612167440038199,0.226501952814134
55107,County,Rusk,2020-04-16,3,84,14178,14534,Western,Northwest,0,19,0,0,0.191443483868367,0,7,0,0,0.493722668923685
55109,County,St. Croix,2020-04-16,11,295,90687,88169,Western,Northwest,4,82,0.0487804878048781,0.00630110789229516,0.129172711792051,1,15,0.0666666666666667,0.0110269388115165,0.165404082172748
55111,County,Sauk,2020-04-16,31,498,64442,62686,Southern,South Central,10,132,0.0757575757575758,0.0221683285523638,0.292621936891202,0,11,0,0,0.170696129853201
55113,County,Sawyer,2020-04-16,2,161,16558,16569,Northern,Northwest,1,70,0.0142857142857143,0.00862768105188687,0.603937673632081,0,7,0,0,0.422756371542457
55115,County,Shawano,2020-04-16,6,210,40899,41260,Northeastern,Fox Valley Area,2,70,0.0285714285714286,0.00698585016049991,0.244504755617497,0,12,0,0,0.293405706740996
55117,County,Sheboygan,2020-04-16,37,626,115340,114515,Northeastern,Southeast,6,117,0.0512820512820513,0.0074314449206074,0.144913175951844,0,16,0,0,0.138720305184671
55119,County,Taylor,2020-04-16,0,65,20343,20580,Northern,North Central,0,14,0,0,0.0983139163348572,0,3,0,0,0.147470874502286
55121,County,Trempealeau,2020-04-16,1,320,29649,29332,Western,Western,0,96,0,0,0.46255474769084,0,13,0,0,0.438463354581942
55123,County,Vernon,2020-04-16,0,244,30822,30287,Southern,Western,0,66,0,0,0.305903946160905,0,9,0,0,0.29199922133541
55125,County,Vilas,2020-04-16,4,87,22195,21656,Northern,North Central,0,19,0,0,0.122292665658289,0,2,0,0,0.0901103852218968
55127,County,Walworth,2020-04-16,71,511,103868,102615,Southeastern,Southeast,43,139,0.309352517985612,0.0591409976398616,0.191176713300948,22,49,0.448979591836735,0.211807293872993,0.471752609080756
55129,County,Washburn,2020-04-16,1,107,15720,15853,Western,Northwest,1,37,0.027027027027027,0.00908760450745183,0.336241366775718,0,1,0,0,0.0636132315521628
55131,County,Washington,2020-04-16,79,1262,136034,134486,Southeastern,Southeast,16,315,0.0507936507936508,0.016802522058561,0.330799653027919,1,111,0.00900900900900901,0.00735110340062043,0.815972477468868
55133,County,Waukesha,2020-04-16,245,2614,404198,398642,Southeastern,Southeast,61,548,0.111313868613139,0.0215594478802115,0.193681597350096,7,99,0.0707070707070707,0.0173182450185305,0.244929465262075
55135,County,Waupaca,2020-04-16,4,235,50990,51731,Northeastern,Fox Valley Area,1,88,0.0113636363636364,0.00280166979519794,0.246546941977419,0,10,0,0,0.196116885663856
55137,County,Waushara,2020-04-16,2,91,24443,24298,Northeastern,Fox Valley Area,0,27,0,0,0.157801532428215,0,3,0,0,0.122734525221945
55139,County,Winnebago,2020-04-16,32,759,171907,169344,Northeastern,Fox Valley Area,7,195,0.0358974358974359,0.00581709878015439,0.162047751732872,1,22,0.0454545454545455,0.00581709878015439,0.127976173163396
55141,County,Wood,2020-04-16,2,291,72999,74026,Northern,North Central,0,52,0,0,0.10176264645504,0,10,0,0,0.136988177920245
55001,County,Adams,2020-04-17,4,106,20220,20495,Southern,South Central,2,29,0.0689655172413793,0.0141302811925957,0.204889077292638,1,6,0.166666666666667,0.0494559841740851,0.29673590504451
55003,County,Ashland,2020-04-17,2,71,15562,15863,Northern,Northwest,1,13,0.0769230769230769,0.00917987038023023,0.119338314942993,0,0,NA,0,0
55005,County,Barron,2020-04-17,6,538,45244,45880,Western,Northwest,0,126,0,0,0.397842807886129,0,16,0,0,0.353638051454336
55007,County,Bayfield,2020-04-17,3,102,15036,15204,Northern,Northwest,0,19,0,0,0.180519135028313,0,4,0,0,0.266028198989093
55009,County,Brown,2020-04-17,180,1273,264542,260329,Northeastern,Northeast,125,494,0.253036437246964,0.0675021087658778,0.266768333842749,41,102,0.401960784313726,0.154984841726456,0.385572045270694
55011,County,Buffalo,2020-04-17,4,127,13031,13509,Western,Western,2,20,0.1,0.0219257375269961,0.219257375269961,0,3,0,0,0.230220244033459
55013,County,Burnett,2020-04-17,0,59,15414,15447,Western,Northwest,0,14,0,0,0.129752173348904,0,1,0,0,0.0648760866744518
55015,County,Calumet,2020-04-17,5,227,50089,51476,Northeastern,Fox Valley Area,1,60,0.0166666666666667,0.00285206617934363,0.171123970760618,0,5,0,0,0.0998223162770269
55017,County,Chippewa,2020-04-17,20,687,64658,64220,Western,Northwest,2,130,0.0153846153846154,0.0044188543678166,0.287225533908079,0,26,0,0,0.402115747471311
55019,County,Clark,2020-04-17,12,132,34774,34741,Western,North Central,5,31,0.161290322580645,0.0205407981332523,0.127352948426164,2,4,0.5,0.0575142347731063,0.115028469546213
55021,County,Columbia,2020-04-17,27,555,57532,57128,Southern,South Central,3,89,0.0337078651685393,0.00744927046811216,0.220995023887327,0,25,0,0,0.434540777306542
55023,County,Crawford,2020-04-17,3,146,16131,16555,Southern,Western,0,30,0,0,0.265681872525838,0,6,0,0,0.371954621536173
55025,County,Dane,2020-04-17,351,6735,546695,528496,Southern,South Central,38,1105,0.0343891402714932,0.0099297989346371,0.288748100599316,0,160,0,0,0.292667758073514
55027,County,Dodge,2020-04-17,19,608,87839,89205,Southern,South Central,1,129,0.00775193798449612,0.00162635210848419,0.209799421994461,0,26,0,0,0.295996083744123
55029,County,Door,2020-04-17,9,112,27668,28051,Northeastern,Northeast,1,12,0.0833333333333333,0.00516326235568682,0.0619591482682418,0,3,0,0,0.108428509469423
55031,County,Douglas,2020-04-17,7,365,43150,43874,Western,Northwest,0,102,0,0,0.337692435027313,0,9,0,0,0.208574739281576
55033,County,Dunn,2020-04-17,9,662,45368,44777,Western,Northwest,1,142,0.00704225352112676,0.00314885255812782,0.44713706325415,0,33,0,0,0.727384940927526
55035,County,Eau Claire,2020-04-17,22,1353,104646,102893,Western,Northwest,1,281,0.00355871886120996,0.00136514671231717,0.383606226161126,0,44,0,0,0.420465187393689
55037,County,Florence,2020-04-17,2,11,4295,4421,Northern,Northeast,0,4,0,0,0.13304506901713,0,0,NA,0,0
55039,County,Fond du Lac,2020-04-17,61,1051,103403,103373,Northeastern,Southeast,9,184,0.0489130434782609,0.0124340133817615,0.254206495804902,2,28,0.0714285714285714,0.0193417985938512,0.270785180313917
55041,County,Forest,2020-04-17,0,34,9004,9182,Northern,North Central,0,11,0,0,0.174525607666434,0,0,NA,0,0
55043,County,Grant,2020-04-17,13,334,51439,52374,Southern,South Central,9,113,0.079646017699115,0.0249949315833178,0.313825252101657,3,22,0.136363636363636,0.0583215070277416,0.427691051536772
55045,County,Green,2020-04-17,9,230,36960,36864,Southern,South Central,0,44,0,0,0.170068027210884,0,9,0,0,0.243506493506494
55047,County,Green Lake,2020-04-17,1,117,18913,19088,Northeastern,Fox Valley Area,1,32,0.03125,0.00755338353815592,0.241708273220989,0,5,0,0,0.264368423835457
55049,County,Iowa,2020-04-17,6,175,23678,23799,Southern,South Central,2,33,0.0606060606060606,0.012066656208898,0.199099827446816,1,7,0.142857142857143,0.0422332967311428,0.295633077118
55051,County,Iron,2020-04-17,2,26,5687,5844,Northern,North Central,1,7,0.142857142857143,0.0251199477505087,0.175839634253561,0,1,0,0,0.175839634253561
