FIPS,GEO,County,Date,Cases,Tests,Population,newCases,newTests,posFraction,newCases.per1000,newTests.per1000,dailyPos,dailyTests,dailyFractionPos,Cases.per1000,Tests.per1000
55111,County,Sauk,2020-03-15,0,NA,64442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55113,County,Sawyer,2020-03-15,0,NA,16558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55115,County,Shawano,2020-03-15,0,NA,40899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55117,County,Sheboygan,2020-03-15,3,NA,115340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55109,County,St. Croix,2020-03-15,0,NA,90687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55119,County,Taylor,2020-03-15,0,NA,20343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55121,County,Trempealeau,2020-03-15,0,NA,29649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55123,County,Vernon,2020-03-15,0,NA,30822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55125,County,Vilas,2020-03-15,0,NA,22195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55127,County,Walworth,2020-03-15,0,NA,103868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55129,County,Washburn,2020-03-15,0,NA,15720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55131,County,Washington,2020-03-15,0,NA,136034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55133,County,Waukesha,2020-03-15,3,NA,404198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55135,County,Waupaca,2020-03-15,0,NA,50990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55137,County,Waushara,2020-03-15,0,NA,24443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55139,County,Winnebago,2020-03-15,1,NA,171907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55141,County,Wood,2020-03-15,0,NA,72999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,State,WI,2020-03-16,47,551,5822434,NA,NA,NA,NA,NA,15,206,0.0728155339805825,0.00257624216951193,0.0353803924612971
55001,County,Adams,2020-03-16,0,NA,20220,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55003,County,Ashland,2020-03-16,0,NA,15562,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55005,County,Barron,2020-03-16,0,NA,45244,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55007,County,Bayfield,2020-03-16,0,NA,15036,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55009,County,Brown,2020-03-16,0,NA,264542,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55011,County,Buffalo,2020-03-16,0,NA,13031,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55013,County,Burnett,2020-03-16,0,NA,15414,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55015,County,Calumet,2020-03-16,0,NA,50089,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55017,County,Chippewa,2020-03-16,0,NA,64658,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55019,County,Clark,2020-03-16,0,NA,34774,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55021,County,Columbia,2020-03-16,0,NA,57532,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55023,County,Crawford,2020-03-16,0,NA,16131,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55025,County,Dane,2020-03-16,10,NA,546695,NA,NA,NA,NA,NA,4,NA,NA,0.00731669395183786,NA
55027,County,Dodge,2020-03-16,0,NA,87839,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55029,County,Door,2020-03-16,0,NA,27668,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55031,County,Douglas,2020-03-16,0,NA,43150,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55033,County,Dunn,2020-03-16,0,NA,45368,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55035,County,Eau Claire,2020-03-16,0,NA,104646,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55037,County,Florence,2020-03-16,0,NA,4295,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55039,County,Fond du Lac,2020-03-16,11,NA,103403,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55041,County,Forest,2020-03-16,0,NA,9004,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55043,County,Grant,2020-03-16,0,NA,51439,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55045,County,Green,2020-03-16,0,NA,36960,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55047,County,Green Lake,2020-03-16,0,NA,18913,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55049,County,Iowa,2020-03-16,0,NA,23678,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55051,County,Iron,2020-03-16,0,NA,5687,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55053,County,Jackson,2020-03-16,0,NA,20643,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55055,County,Jefferson,2020-03-16,0,NA,84769,NA,NA,NA,NA,NA,0,NA,NA,0,NA
55057,County,Juneau,2020-03-16,0,NA,26687,NA,NA,NA,NA,NA,0,NA,NA,0,NA
